"","panelist","session","rank","product","cocoa_a","milk_a","cocoa_f","milk_f","caramel","vanilla","sweetness","acidity","bitterness","astringency","crunchy","melting","sticky","granular"
"1","id_001","session_01","order_01","choc6",7,6,6,5,5,3,7,2,4,5,8,3,4,3
"2","id_001","session_01","order_06","choc3",6,7,2,7,8,4,7,2,2,3,3,8,6,5
"3","id_001","session_01","order_03","choc2",8,6,5,4,7,4,5,5,6,6,7,5,4,3
"4","id_001","session_01","order_05","choc1",7,8,8,3,3,2,4,7,8,6,3,2,3,5
"5","id_001","session_01","order_02","choc4",8,5,4,4,4,4,5,6,6,4,6,3,7,3
"6","id_001","session_01","order_04","choc5",7,5,3,5,6,2,5,4,7,4,6,6,4,7
"7","id_002","session_01","order_01","choc4",6,1,8,1,0,0,1,0,3,0,8,5,0,0
"8","id_002","session_01","order_04","choc3",4,2,3,4,0,0,5,0,0,0,4,8,3,1
"9","id_002","session_01","order_03","choc6",5,1,8,1,0,0,1,0,3,0,6,2,1,1
"10","id_002","session_01","order_05","choc2",5,2,8,1,0,0,0,0,6,0,8,2,4,0
"11","id_002","session_01","order_02","choc5",4,1,7,1,0,0,1,0,4,0,5,1,1,6
"12","id_002","session_01","order_06","choc1",6,1,8,0,0,0,0,4,7,0,8,2,2,0
"13","id_003","session_01","order_05","choc3",5,3,2,9,6,7,10,0,1,2,1,6,3,2
"14","id_003","session_01","order_01","choc2",8,1,6,2,6,1,5,2,5,2,7,4,2,3
"15","id_003","session_01","order_02","choc6",5,6,5,3,3,2,3,4,4,3,7,7,2,3
"16","id_003","session_01","order_03","choc1",8,2,8,1,3,1,2,7,8,6,8,8,3,1
"17","id_003","session_01","order_06","choc5",7,2,7,3,6,3,4,6,6,3,5,2,2,6
"18","id_003","session_01","order_04","choc4",6,1,5,0,5,2,4,3,3,3,5,4,4,6
"19","id_004","session_01","order_03","choc3",5,8,7,9,7,7,9,1,3,1,5,7,7,1
"20","id_004","session_01","order_02","choc2",10,0,6,2,8,3,1,9,7,6,10,1,2,8
"21","id_004","session_01","order_05","choc5",9,3,7,6,7,6,7,7,7,2,5,5,8,7
"22","id_004","session_01","order_01","choc1",9,2,9,1,6,0,2,8,10,10,9,0,7,9
"23","id_004","session_01","order_04","choc6",8,5,7,2,5,0,2,2,5,6,6,1,9,7
"24","id_004","session_01","order_06","choc4",9,1,10,0,0,4,0,9,9,9,5,1,6,7
"25","id_005","session_01","order_03","choc4",8,4,9,2,2,2,4,3,7,7,9,5,7,5
"26","id_005","session_01","order_01","choc5",8,5,6,4,6,0,6,3,6,5,7,5,8,5
"27","id_005","session_01","order_02","choc3",8,2,5,4,5,2,8,6,3,3,6,8,8,0
"28","id_005","session_01","order_04","choc1",7,6,9,2,0,2,2,4,8,7,7,4,6,3
"29","id_005","session_01","order_06","choc2",7,3,5,3,4,2,8,5,3,2,5,5,5,0
"30","id_005","session_01","order_05","choc6",4,6,7,3,5,5,8,5,3,7,9,4,4,2
"31","id_006","session_01","order_03","choc5",9,1,8,3,3,0,8,1,2,1,7,9,1,0
"32","id_006","session_01","order_01","choc3",7,2,7,5,7,1,7,2,3,0,8,3,8,3
"33","id_006","session_01","order_06","choc6",4,7,5,7,6,4,7,4,8,0,5,7,9,5
"34","id_006","session_01","order_02","choc1",8,3,10,1,2,2,8,3,7,5,7,6,9,0
"35","id_006","session_01","order_05","choc4",7,6,8,2,6,3,5,5,7,4,7,4,9,5
"36","id_006","session_01","order_04","choc2",5,4,8,2,4,3,8,5,7,6,10,8,7,5
"37","id_007","session_01","order_02","choc6",10,1,8,1,7,1,4,6,6,0,9,1,7,1
"38","id_007","session_01","order_01","choc3",9,2,6,2,0,1,7,3,2,0,2,9,4,0
"39","id_007","session_01","order_06","choc4",5,6,10,1,2,2,7,4,9,1,9,5,8,7
"40","id_007","session_01","order_03","choc5",9,2,9,1,1,4,6,8,8,5,9,1,7,8
"41","id_007","session_01","order_04","choc2",3,8,7,4,0,5,7,8,4,8,9,4,3,2
"42","id_007","session_01","order_05","choc1",6,7,5,5,4,4,4,8,8,6,5,4,8,8
"43","id_008","session_01","order_01","choc1",9,4,9,1,2,1,4,6,8,1,5,7,3,1
"44","id_008","session_01","order_03","choc4",9,3,7,1,4,5,7,1,3,6,9,3,3,6
"45","id_008","session_01","order_05","choc2",3,7,7,3,1,3,8,6,7,7,8,1,2,7
"46","id_008","session_01","order_04","choc3",2,8,2,10,9,3,7,2,0,1,2,8,9,0
"47","id_008","session_01","order_06","choc6",8,7,4,4,8,3,8,1,3,7,10,0,5,10
"48","id_008","session_01","order_02","choc5",5,5,5,3,6,1,7,4,2,4,8,2,3,2
"49","id_009","session_01","order_03","choc2",6,2,7,2,4,3,6,4,4,4,9,6,2,5
"50","id_009","session_01","order_05","choc6",5,6,6,7,4,2,8,3,2,1,9,6,5,2
"51","id_009","session_01","order_02","choc1",8,3,8,3,4,2,4,8,8,4,6,5,6,2
"52","id_009","session_01","order_01","choc4",3,7,6,5,2,2,7,7,8,6,7,5,8,2
"53","id_009","session_01","order_04","choc5",2,8,3,7,3,4,5,2,2,1,9,2,3,3
"54","id_009","session_01","order_06","choc3",2,10,1,10,8,3,8,1,1,1,1,9,4,1
"55","id_010","session_01","order_02","choc3",6,8,6,8,9,7,9,2,1,0,6,9,7,3
"56","id_010","session_01","order_04","choc6",10,4,9,3,5,6,4,1,5,2,9,6,2,2
"57","id_010","session_01","order_01","choc5",9,6,9,4,5,2,5,1,8,3,9,8,1,5
"58","id_010","session_01","order_03","choc1",9,6,9,2,4,3,5,2,7,6,9,8,6,7
"59","id_010","session_01","order_05","choc4",9,4,9,4,3,7,3,1,7,6,7,9,5,3
"60","id_010","session_01","order_06","choc2",9,4,8,3,5,7,6,1,2,5,9,8,7,2
"61","id_011","session_01","order_05","choc5",7,5,8,2,3,7,4,4,5,4,6,6,5,4
"62","id_011","session_01","order_04","choc4",6,2,6,1,1,2,1,2,6,7,3,3,6,4
"63","id_011","session_01","order_06","choc1",3,2,5,2,2,3,1,3,7,1,5,6,2,5
"64","id_011","session_01","order_01","choc6",6,3,7,3,3,1,2,2,5,6,6,2,2,3
